"company_id","company_name","primary_naics","naics_4digit","is_customer","scoring_path","naics_attractiveness_score","company_opportunity_score","final_score","scoring_reason","city","state","location_employee_size","sales_volume","icp_fit_score","buildings_score","revenue_score","growth_score","contact_score","icp_fit_reasoning","icp_recommendation","icp_confidence","expansion_score","churn_score","profitability_score","tickets_score","rank","has_research_doc","research_recency"
"11143203","M-I SWACO","21311106","2131","False","Prospect","33.7","63.1","51.3","Prospect (ICP-based): 4/4 factors with data","Calgary","AB","1585.0","168338517.0","52","41.6","100.0","100.0","75.0","M-I SWACO (Schlumberger subsidiary) operates 7 locations in oil/gas drilling fluids—outside OpenWorks' core verticals. Multi-site presence is marginal (5-9 range). Web research failed to surface any growth, outsourcing readiness, or centralized operations signals. NAICS 21311 (oil/gas support services) has no validated fit with OpenWorks' healthcare/education/property management focus.","Medium Priority","low","","","","","1","False",""
"417191969","Petro-Hunt, LLC","21311203","2131","False","Prospect","33.7","62.7","51.1","Prospect (ICP-based): 4/4 factors with data","Dallas","TX","607.0","637347202.0","48","49.7","100.0","100.0","75.0","Petro-Hunt operates in oil/gas extraction (NAICS 2131), which is outside OpenWorks' core verticals. While 11 locations and $637M revenue show scale, this industry focuses on field operations/drilling sites rather than traditional office/facility cleaning. Research failure prevents validation of any office footprint or centralized facilities management.","Low Priority","low","","","","","1","False",""
"513270413","Well Control School","21311216","2131","False","Prospect","33.7","47.8","42.2","Prospect (ICP-based): 4/4 factors with data","Houston","TX","29.0","106109151.0","30","27.7","100.0","85.0","75.0","Oil/gas training school with high revenue but only 3 locations and 29 employees; wrong industry.","Low Priority","low","","","","","1","False",""
"29647310","Neo Performance Materials Inc","21311401","2131","False","Prospect","33.7","52.1","44.7","Prospect (ICP-based): 4/4 factors with data","Toronto","ON","1350.0","266640000.0","38","22.0","100.0","100.0","75.0","Mining/materials company with only 2 locations despite large size, limited multi-site potential.","Low Priority","low","","","","","1","False",""
"441444940","Wheelabrator Technologies Inc","22111804","2211","False","Prospect","59.5","66.2","63.5","Prospect (ICP-based): 4/4 factors with data","Newington","NH","2100.0","868000000.0","55","49.7","100.0","100.0","75.0","Wheelabrator Technologies operates waste-to-energy facilities (NAICS 2211 - utilities/power generation). While 11 locations and $868M revenue suggest scale, these are industrial power plants requiring specialized cleaning (OSHA compliance, machinery areas). However, complete lack of web research data prevents validation of centralized operations, outsourcing readiness, or facilities leadership structure.","Medium Priority","low","","","","","1","False",""
"465918753","Lower Colorado River Authority","22112202","2211","False","Prospect","59.5","68.3","64.8","Prospect (ICP-based): 4/4 factors with data","Austin","TX","2200.0","1248849608.0","58","52.8","100.0","100.0","75.0","Lower Colorado River Authority is a large utility/government entity with 13 locations and $1.2B revenue, suggesting operational sophistication. However, NAICS 22112202 (electric power generation) is non-core, and government procurement processes may favor local/small business vendors over national consolidators.","Medium Priority","low","","","","","1","False",""
"7508708","Commonwealth Edison Company","22112202","2211","False","Prospect","59.5","62.7","61.4","Prospect (ICP-based): 4/4 factors with data","Chicago","IL","6547.0","8219000000.0","55","32.2","100.0","100.0","75.0","Major utility with 4 locations and 6,547 employees, decent fit but declining and limited footprint for size.","Medium Priority","low","","","","","2","False",""
"947733135","Kansas Gas Service Co","22121002","2212","False","Prospect","29.5","54.9","44.7","Prospect (ICP-based): 4/4 factors with data","Overland Park","KS","1035.0","122414162.0","38","35.8","100.0","100.0","75.0","Kansas Gas Service operates only 5 locations with $122M revenue, falling below OpenWorks' optimal multi-site threshold (10+ locations). Utilities (NAICS 2212) are outside core verticals and typically have minimal facility cleaning needs beyond office spaces and service centers. No web evidence of outsourcing readiness, vendor consolidation needs, or centralized facilities management.","Low Priority","low","","","","","1","False",""
"403901665","WSSC Water","22131003","2213","False","Prospect","58.2","39.3","46.9","Prospect (ICP-based): 4/4 factors with data","Laurel","MD","338.0","304071437.0","10","27.7","100.0","100.0","75.0","Water utility company with 3 locations, completely wrong industry for facility services.","Poor Fit","low","","","","","1","False",""
"121462980","A1 Sanitation Services Inc","22132001","2213","False","Prospect","58.2","55.0","56.3","Prospect (ICP-based): 4/4 factors with data","New Castle","DE","70.0","147204951.0","35","43.9","100.0","100.0","75.0","Sanitation/waste services company (NAICS 2213) with 8 locations. This is outside OpenWorks' core verticals and may operate in-house cleaning given their sanitation expertise. High revenue ($147M) with only 70 employees suggests capital-intensive operations, not labor-intensive facility services. No web intelligence available.","Low Priority","low","","","","","1","False",""
"440228773","Turner Industries Group LLC","23611505","2361","False","Prospect","40.6","66.3","56.0","Prospect (ICP-based): 4/4 factors with data","Baton Rouge","LA","12000.0","681000000.0","52","57.8","100.0","100.0","75.0","Turner Industries (NAICS 23611505 - industrial construction/maintenance) has 17 locations which is solid multi-site fit (75-89 range), but web research completely failed to validate any outsourcing readiness, centralized operations, or growth signals. Industrial construction typically manages facilities in-house. Without research validation, scoring conservatively.","Medium Priority","low","","","","","1","False",""
"623003860","Woofter Construction & Irrigation, Inc","23611505","2361","False","Prospect","40.6","46.5","44.1","Prospect (ICP-based): 4/4 factors with data","Colby","KS","201.0","37569482.0","30","22.0","89.0","100.0","75.0","Declining construction/irrigation company with only 2 locations, wrong industry and contracting.","Poor Fit","low","","","","","2","False",""
"702945916","Emmaus Homes Inc","23611506","2361","False","Prospect","40.6","55.3","49.4","Prospect (ICP-based): 4/4 factors with data","Saint Charles","MO","45.0","33519271.0","45","32.2","87.3","95.7","75.0","Residential construction with 4 locations and $33M revenue, moderate facility needs.","Medium Priority","low","","","","","1","False",""
"577501661","Sherwood Companies","23611512","2361","False","Prospect","40.6","67.3","56.6","Prospect (ICP-based): 4/4 factors with data","Tulsa","OK","3323.0","508687017.0","58","48.0","100.0","100.0","75.0","Sherwood Companies has 10 locations (good multi-site fit), strong revenue ($509M), and 'Growing' indicator suggesting expansion momentum. However, residential construction (NAICS 2361) is outside core verticals. Web research failed, so cannot validate centralized operations or outsourcing readiness. Construction companies may have project-based vs. facility-based cleaning needs.","Medium Priority","low","","","","","1","False",""
"751057831","ATI Restoration, LLC","23611813","2361","False","Prospect","40.6","67.6","56.8","Prospect (ICP-based): 4/4 factors with data","Anaheim","CA","1337.0","90070176.0","45","81.6","100.0","100.0","75.0","NAICS 23611813 (residential remodeling/restoration) is outside core verticals. 58 locations is excellent multi-site fit (90 points), but restoration work is project-based rather than recurring facility maintenance. Research failure prevents validation of any centralized operations or compliance needs.","Low Priority","low","","","","","1","False",""
"105382709","Hawaiian Dredging Construction","23622005","2362","False","Prospect","55.1","50.6","52.4","Prospect (ICP-based): 4/4 factors with data","Honolulu","HI","226.0","101281325.0","35","22.0","100.0","100.0","75.0","Construction/dredging company with 2 locations, declining, and wrong industry focus.","Poor Fit","low","","","","","1","False",""
"8814519","Fred Weber, Inc","23622005","2362","False","Prospect","55.1","49.8","51.9","Prospect (ICP-based): 4/4 factors with data","Maryland Heights","MO","313.0","48538017.0","30","35.8","92.8","100.0","75.0","Fred Weber is a construction/nonresidential building contractor (NAICS 2362). Construction companies have temporary job sites rather than permanent facilities needing ongoing janitorial services. 5 locations is marginal multi-site fit, but the business model doesn't align with OpenWorks' facility services.","Poor Fit","medium","","","","","2","False",""
"906454293","Mobile Modular Management Corporation","23622011","2362","False","Prospect","55.1","78.7","69.3","Prospect (ICP-based): 4/4 factors with data","Livermore","CA","1309.0","65959292.0","68","81.6","97.4","100.0","75.0","Mobile Modular Management Corporation operates 58 locations in the modular building rental/sales space (NAICS 23622011 - Commercial/Institutional Building Construction). Strong multi-site footprint is excellent for OpenWorks' consolidation model. However, web research failed to surface growth signals, centralized operations evidence, or outsourcing readiness indicators. Construction-adjacent industry may have facility cleaning needs but not a core vertical.","Medium Priority","medium","","","","","1","False",""
"303245286","Anthony & Sylvan Pools","23622040","2362","False","Prospect","55.1","74.2","66.6","Prospect (ICP-based): 4/4 factors with data","Doylestown","PA","460.0","24563741.0","68","70.5","82.6","100.0","75.0","Anthony & Sylvan Pools has 33 locations (excellent multi-site fit) in pool construction/retail (NAICS 2362). While not a core vertical, the 33-location footprint creates strong consolidation opportunity. $24.6M revenue with 460 employees suggests retail/showroom model that requires consistent cleaning. Stable operations indicate established vendor relationships that could be consolidated.","High Priority","medium","","","","","1","False",""
"116263690","Mechanical Dynamics & Analysis","23713017","2371","False","Prospect","47.8","52.4","50.6","Prospect (ICP-based): 4/4 factors with data","Latham","NY","1884.0","51632808.0","38","27.7","93.7","100.0","75.0","Mechanical/construction services with 1,884 employees but only 3 locations and declining operations.","Low Priority","low","","","","","1","False",""
"213988090","Carl M Freeman Associates, Inc","23721005","2372","False","Prospect","31.1","73.5","56.5","Prospect (ICP-based): 4/4 factors with data","Rockville","MD","269.0","225972811.0","71","46.1","100.0","100.0","75.0","Carl M Freeman Associates operates 9 locations in land subdivision/development (NAICS 2372) with $226M revenue and growing indicator. This could include property management/real estate operations (OpenWorks core vertical). The 9-location count provides good multi-site consolidation opportunity, and high revenue suggests operational sophistication. Growth signal is positive for expansion-driven cleaning needs.","High Priority","medium","","","","","1","False",""
"531587343","KETTLER, Inc","23721005","2372","False","Prospect","31.1","66.8","52.5","Prospect (ICP-based): 4/4 factors with data","McLean","VA","222.0","64937266.0","45","79.8","97.2","100.0","75.0","Site preparation/construction company with 53 locations but declining operations; moderate fit but concerning trajectory.","Low Priority","low","","","","","2","False",""
"815741053","The Cordish Companies","23721005","2372","False","Prospect","31.1","63.5","50.5","Prospect (ICP-based): 4/4 factors with data","Baltimore","MD","825.0","231116653.0","52","43.9","100.0","100.0","75.0","The Cordish Companies operates 8 locations in real estate development (NAICS 23721005 - construction/development), which is adjacent to property management but not core ICP. Without web research data, cannot confirm centralized operations or outsourcing readiness. Revenue of $231M suggests operational sophistication, but construction/development firms typically have different facility needs than property management.","Medium Priority","low","","","","","3","False",""
"137710109","The Pizzuti Companies","23721005","2372","False","Prospect","31.1","61.9","49.6","Prospect (ICP-based): 4/4 factors with data","Columbus","OH","375.0","150556884.0","52","35.8","100.0","100.0","75.0","Pizzuti Companies operates in construction/development (NAICS 2372), which is outside OpenWorks' core verticals. With only 5 locations (60 points for multi-site), they're at the lower threshold. $150M revenue shows operational sophistication, but construction companies typically focus on project-based work rather than ongoing facility services, making them a weaker fit for janitorial consolidation.","Low Priority","low","","","","","4","False",""
"445401649","Watkins Real Estate Group","23721005","2372","False","Prospect","31.1","48.4","41.5","Prospect (ICP-based): 4/4 factors with data","Atlanta","GA","32.0","51021176.0","35","22.0","93.6","87.4","75.0","Real estate/construction company with only 2 locations and 32 employees; too small despite growth indicator.","Low Priority","low","","","","","5","False",""
"439885682","Awe Next","23721005","2372","False","Prospect","31.1","42.6","38.0","Prospect (ICP-based): 4/4 factors with data","North Miami","FL","34.0","33153116.0","25","22.0","87.1","88.9","75.0","Site preparation contractor with only 2 locations and small team, minimal facility services needs.","Poor Fit","low","","","","","6","False",""
"250251246","Core Real Estate Capital, LLC","23721005","2372","False","Prospect","31.1","40.7","36.9","Prospect (ICP-based): 4/4 factors with data","Columbus","OH","25.0","20157321.0","25","22.0","79.7","81.5","75.0","Real estate capital firm with only 2 locations and 25 employees, too small for meaningful opportunity.","Poor Fit","low","","","","","7","False",""
"416602354","Edward Rose & Sons Flint","23721006","2372","False","Prospect","31.1","65.2","51.6","Prospect (ICP-based): 4/4 factors with data","Grand Blanc","MI","928.0","120891008.0","60","32.2","100.0","100.0","75.0","High-growth construction/property management with 4 locations, strong revenue and employee base presents solid opportunity.","Medium Priority","low","","","","","1","False",""
"2076891","Herzog Contracting Corp","23731010","2373","False","Prospect","31.8","59.5","48.4","Prospect (ICP-based): 4/4 factors with data","Saint Joseph","MO","1760.0","28184397.0","45","52.8","84.7","100.0","75.0","Highway construction company with 13 locations and 1,760 employees, but declining operations reduces appeal.","Medium Priority","low","","","","","1","False",""
"492273289","Railserve, Inc","23799007","2379","False","Prospect","30.8","64.6","51.1","Prospect (ICP-based): 4/4 factors with data","Atlanta","GA","1401.0","16866855.0","58","51.3","77.0","100.0","75.0","Railserve has 12 locations (good multi-site fit) and 1,401 employees suggesting significant operational footprint. NAICS 23799007 (specialty trade contractors) indicates they may operate rail maintenance facilities. However, complete lack of web research data prevents validation of centralized operations or outsourcing readiness.","Medium Priority","medium","","","","","1","False",""
"979464880","RailWorks Corporation","23799007","2379","False","Prospect","30.8","64.1","50.8","Prospect (ICP-based): 4/4 factors with data","New York","NY","1301.0","616599000.0","48","56.7","100.0","100.0","75.0","RailWorks Corporation has strong multi-site presence (16 locations = 75 points) and substantial revenue ($617M), indicating operational sophistication. However, NAICS 23799 (specialty trade contractors) is outside core verticals, and research failure prevents validation of centralized facilities management or outsourcing readiness. Railroad/infrastructure construction may have unique cleaning needs outside OpenWorks' typical scope.","Low Priority","low","","","","","2","False",""
"755512401","Rescar Companies","23799007","2379","False","Prospect","30.8","60.9","48.9","Prospect (ICP-based): 3/4 factors with data","Downers Grove","IL","624.0","31798107.0","50","46.1","86.5","100.0","75.0","Rescar Companies operates 9 locations (decent multi-site) but NAICS 2379 (specialty trade contractors) is non-core and suggests potential competitor risk. Web research completely failed to validate any outsourcing readiness, centralized operations, or growth signals. Employee count (624) relative to revenue ($32M) suggests labor-intensive operations, but unclear if they're a buyer or provider of services.","Low Priority","low","","","","","3","False",""
"21762869","Cando Rail & Terminals Ltd","23799007","2379","False","Prospect","30.8","57.4","46.8","Prospect (ICP-based): 4/4 factors with data","Brandon","MB","900.0","67865234.0","45","32.2","97.8","100.0","75.0","Rail construction/terminals with 4 locations and 900 employees, slightly better industry fit.","Low Priority","low","","","","","4","False",""
"618775191","Regional Rail LLC","23799007","2379","False","Prospect","30.8","56.0","45.9","Prospect (ICP-based): 4/4 factors with data","Kennett Square","PA","1201.0","62010856.0","38","43.9","96.5","100.0","75.0","Regional Rail operates in specialty trade contractors (NAICS 2379), not a core OpenWorks vertical. With 8 locations and $62M revenue, they have decent multi-site presence, but web research failure means no visibility into centralized operations or outsourcing readiness. The construction/contractor nature suggests they may handle facilities in-house or have decentralized site management.","Low Priority","low","","","","","5","False",""
"384241725","Trans-Global Solutions, Inc","23799007","2379","False","Prospect","30.8","53.5","44.4","Prospect (ICP-based): 4/4 factors with data","Baytown","TX","350.0","10000000.0","42","41.6","69.2","100.0","75.0","Trans-Global Solutions (specialty trade contractors) has 7 locations and $10M revenue, which provides moderate multi-site fit (60 points). However, NAICS 23799 (specialty trade contractors) is not a core OpenWorks vertical, and complete research failure prevents validation of centralized operations or outsourcing readiness. No growth signals or switching indicators identified.","Low Priority","low","","","","","6","False",""
"4570644","Stephens & Smith Construction Co, Inc","23811001","2381","False","Prospect","29.7","45.6","39.2","Prospect (ICP-based): 4/4 factors with data","Lincoln","NE","91.0","24793515.0","30","22.0","82.8","100.0","75.0","Small construction company with 2 locations and limited scale for facility services.","Poor Fit","low","","","","","1","False",""
"862092798","S.R. Bray LLC","23821007","2382","False","Prospect","58.5","68.9","64.7","Prospect (ICP-based): 4/4 factors with data","Anaheim","CA","471.0","29727896.0","58","66.6","85.5","100.0","75.0","S.R. Bray LLC has excellent multi-site fit (27 locations) but NAICS 2382 (building equipment contractors) is outside core verticals and suggests they may BE a facilities contractor themselves. Web research failed entirely. Revenue ($30M) and employee count (471) suggest operational scale, but without validation of centralized ops or outsourcing model, this is highly speculative.","Low Priority","low","","","","","1","False",""
"137404752","Mid-Ohio Mechanical, Inc","23821038","2382","False","Prospect","58.5","50.3","53.6","Prospect (ICP-based): 4/4 factors with data","Granville","OH","655.0","21624958.0","40","22.0","80.7","100.0","75.0","HVAC mechanical contractor with 2 locations, potential competitor rather than customer.","Low Priority","low","","","","","1","False",""
"521678268","Dandy Cooling Co LLC","23822002","2382","False","Prospect","58.5","60.3","59.6","Prospect (ICP-based): 4/4 factors with data","Salinas","CA","2564.0","56103571.0","48","41.6","95.0","100.0","75.0","Dandy Cooling Co operates 7 locations in food processing/cold storage (NAICS 23822), which suggests warehouse/manufacturing facilities that need cleaning. However, all web research failed, leaving no visibility into centralized operations, growth momentum, or outsourcing readiness. The location count is marginal (5-9 range) and revenue of $56M indicates operational sophistication, but without confirmation of centralized facilities management or vendor consolidation pain, this remains speculative.","Medium Priority","low","","","","","1","False",""
"580728657","Schindler Elevator Corporation","23829005","2382","False","Prospect","58.5","75.7","68.8","Prospect (ICP-based): 4/4 factors with data","Morristown","NJ","6500.0","1000000000.0","55","97.4","100.0","100.0","75.0","Schindler Elevator is a major manufacturing/installation company (NAICS 2382) with 129 locations and $1B revenue - exceptional multi-site fit. However, elevator installation/construction is outside OpenWorks' core verticals, and the business model (service technicians, not traditional facilities) may not generate significant cleaning needs beyond office spaces.","Medium Priority","low","","","","","1","False",""
"159766559","Able Machinery Movers, LLC","23829007","2382","False","Prospect","58.5","50.7","53.8","Prospect (ICP-based): 4/4 factors with data","Grapevine","TX","567.0","26707975.0","40","22.0","83.9","100.0","75.0","Machinery moving with 2 locations and growing, but specialized construction niche.","Low Priority","low","","","","","1","False",""
"675223713","Flor, Inc","23833007","2383","False","Prospect","49.6","54.2","52.4","Prospect (ICP-based): 4/4 factors with data","Chicago","IL","638.0","24523270.0","35","52.8","82.6","100.0","75.0","Building finishing contractor with 13 locations but declining and construction industry is weak fit.","Low Priority","low","","","","","1","False",""
"427804867","Townsend Corporation","23891009","2389","False","Prospect","47.4","46.2","46.7","Prospect (ICP-based): 4/4 factors with data","Muncie","IN","730.0","53458378.0","15","54.2","94.3","100.0","75.0","Townsend Corporation (NAICS 23891009 - Apparel Accessories/Other Apparel Manufacturing) is a manufacturing company, but in apparel/textiles rather than heavy manufacturing. With 14 locations, they have decent multi-site presence (75 points on that dimension), but the industry is a poor fit for OpenWorks' core verticals. Web research failed entirely, providing no signals about outsourcing readiness, growth, or centralized operations.","Poor Fit","high","","","","","1","False",""
"861351492","Weatherford International PLC","23891023","2389","False","Prospect","47.4","83.7","69.2","Prospect (ICP-based): 4/4 factors with data","Houston","TX","19000.0","5513000000.0","78","79.8","100.0","100.0","75.0","Weatherford International (oilfield services) has 53 locations and $5.5B revenue with growing operations. Strong multi-site fit (20+ locations = excellent). NAICS 2389 (specialty trade contractors) suggests industrial/manufacturing facilities that could have OSHA compliance needs. Large enterprise scale indicates likely centralized procurement, though web research failed to validate. Oil & gas services companies often have safety/compliance requirements that align with OpenWorks' manufacturing vertical.","High Priority","medium","","","","","1","False",""
"10758274","ChampionX","23891023","2389","False","Prospect","47.4","73.7","63.2","Prospect (ICP-based): 4/4 factors with data","Calgary","AB","3361.0","781193827.0","62","69.9","100.0","100.0","75.0","ChampionX has excellent multi-site presence (32 locations) which is OpenWorks' sweet spot, and strong revenue ($781M) indicates operational sophistication. However, NAICS 23891023 (industrial/construction services) is outside core verticals, and complete research failure prevents validation of centralized operations or outsourcing readiness.","Medium Priority","low","","","","","2","False",""
"56108939","Baker Hughes Canada","23891023","2389","False","Prospect","47.4","71.2","61.7","Prospect (ICP-based): 4/4 factors with data","Calgary","AB","3467.0","244421482.0","58","67.3","100.0","100.0","75.0","Baker Hughes with 28 locations and large scale is strong fit, but declining operations is negative.","Medium Priority","low","","","","","3","False",""
"11482171","Terroco Industries Ltd","23891023","2389","False","Prospect","47.4","57.5","53.5","Prospect (ICP-based): 4/4 factors with data","Red Deer County","AB","311.0","167116024.0","40","43.9","100.0","100.0","75.0","Construction specialty with 8 locations but declining operations, mixed signals.","Low Priority","low","","","","","4","False",""
"866833080","Dalbo, Inc","23891023","2389","False","Prospect","47.4","47.3","47.3","Prospect (ICP-based): 4/4 factors with data","Vernal","UT","22.0","46019147.0","35","22.0","92.0","78.4","75.0","Construction company with 2 locations but very small employee count relative to revenue.","Poor Fit","low","","","","","5","False",""
"1474493","Wild Well Control Inc","23891024","2389","False","Prospect","47.4","60.8","55.4","Prospect (ICP-based): 4/4 factors with data","Houston","TX","973.0","330786798.0","45","48.0","100.0","100.0","75.0","Oil well services with 10 locations and strong revenue, but declining operations is concerning.","Medium Priority","low","","","","","1","False",""
"861328987","Remedial Construction Service LP","23891064","2389","False","Prospect","47.4","48.1","47.8","Prospect (ICP-based): 4/4 factors with data","Houston","TX","114.0","75892459.0","30","22.0","99.5","100.0","75.0","Construction services company with only 2 locations, likely manages own facilities rather than outsourcing.","Low Priority","low","","","","","1","False",""
"27802859","GWIL Crane Service","23899002","2389","False","Prospect","47.4","44.0","45.4","Prospect (ICP-based): 4/4 factors with data","Burnaby","BC","57.0","7443000.0","30","27.7","64.8","100.0","75.0","Crane service company with only 3 locations and low revenue, minimal facility footprint.","Poor Fit","low","","","","","1","False",""
"305749723","Deep South Crane Rentals, Inc","23899002","2389","False","Prospect","47.4","34.3","39.5","Prospect (ICP-based): 4/4 factors with data","Pensacola","FL","29.0","27646855.0","10","22.0","84.4","85.0","75.0","Crane rental company with 2 locations, completely wrong industry for facility services.","Poor Fit","low","","","","","2","False",""
"58559659","Donalco Western Inc","23899025","2389","False","Prospect","47.4","43.2","44.9","Prospect (ICP-based): 4/4 factors with data","Edmonton","AB","66.0","8513168.0","30","22.0","66.8","100.0","75.0","Specialty trade contractor with only 2 locations and small revenue limits facility services opportunity.","Poor Fit","low","","","","","1","False",""
"35132117","Acden","23899052","2389","False","Prospect","47.4","53.6","51.1","Prospect (ICP-based): 4/4 factors with data","Fort McMurray","AB","1400.0","51558210.0","35","41.6","93.7","100.0","75.0","Acden operates in specialty trade construction (NAICS 2389), which is outside OpenWorks' core verticals. With 7 locations and 1,400 employees, they have multi-site presence, but construction companies typically have project-based, temporary facility needs rather than ongoing facility management requirements. Complete lack of web research data prevents validation of any centralized operations or outsourcing readiness.","Low Priority","low","","","","","1","False",""
"7540057","Penetone Corporation","23899054","2389","False","Prospect","47.4","42.8","44.6","Prospect (ICP-based): 4/4 factors with data","Clifton","NJ","120.0","22200000.0","25","22.0","81.1","100.0","75.0","Construction specialty with only 2 locations and 120 employees; wrong industry focus.","Poor Fit","low","","","","","1","False",""
