naics_code,description,icp_fit_score,reasoning
1129,NAICS 1129 Industry,25,"NAICS 1129 covers 'Other Animal Production' including apiculture (beekeeping), aquaculture, fur-bearing animals, horses/equine production, and rabbits. These are agricultural/farming operations with specialized facility requirements (barns, hatcheries, kennels) that fall outside OpenWorks' core commercial cleaning competency. Agricultural facilities typically have owner-operators who handle their own maintenance, lack multi-location standardization, and require specialized knowledge of animal husbandry environments rather than standard commercial cleaning services."
1131,NAICS 1131 Industry,25,"NAICS 1131 (Timber Tract Operations) represents forestry/logging operations - outdoor, natural resource extraction environments that are fundamentally incompatible with OpenWorks' commercial cleaning model. With only 177 locations nationwide, this is an extremely small market of specialized operations (timber harvesting, forest management) that have no standard commercial facility cleaning needs and would not outsource such services. This is a clear avoid - wrong environment, wrong industry type, and minimal addressable market."
1132,NAICS 1132 Industry,25,"NAICS 1132 (Forest Nurseries and Gathering of Forest Products) represents outdoor agricultural/forestry operations with minimal built facilities - primarily nurseries, tree farms, and forest product gathering operations. These are not multi-location commercial facilities requiring regular cleaning services; they are outdoor agricultural operations with limited building infrastructure. This industry falls far outside OpenWorks' core competency of commercial facility maintenance for multi-location businesses with standardized indoor spaces."
1133,NAICS 1133 Industry,25,"NAICS 1133 covers logging operations - a heavy industrial, outdoor extraction industry with specialized equipment and safety requirements far beyond standard commercial cleaning. These are not multi-location facilities with consumer-facing needs; they're remote forestry operations with minimal building infrastructure and cleaning needs handled internally by operational staff. This represents a poor strategic fit with no proven OpenWorks success and extremely low likelihood of outsourcing facility maintenance."
1141,NAICS 1141 Industry,25,"NAICS 1141 covers fishing operations (commercial fishing, shellfish farming, fish hatcheries), which are highly specialized operational environments with unique cleaning and maintenance requirements beyond standard commercial cleaning. With only 616 locations nationwide, this is an extremely small market with facilities that likely handle their own maintenance internally or require specialized marine/aquaculture expertise. This industry represents a poor strategic fit - specialized requirements, tiny addressable market, and no evidence of outsourcing cleaning as a non-core function."
1142,NAICS 1142 Industry,25,"NAICS 1142 covers hunting and trapping operations - a highly specialized agricultural/outdoor activity with minimal facility infrastructure and no alignment with OpenWorks' commercial cleaning model. These operations typically consist of outdoor land areas, hunting preserves, or small rustic facilities that don't require professional commercial cleaning services. This represents a fundamentally poor fit with zero multi-location potential and no outsourcing culture for facility maintenance."
1151,NAICS 1151 Industry,25,"NAICS 1151 covers support activities for crop production (farm labor contractors, soil preparation, crop harvesting services). This is agricultural/farming support - highly seasonal, geographically dispersed operations, not multi-location facilities requiring commercial cleaning. These are outdoor agricultural operations, not the type of commercial buildings where OpenWorks provides janitorial services."
1152,NAICS 1152 Industry,25,"NAICS 1152 covers aquaculture operations (fish farms, shellfish farming, hatcheries), which are specialized agricultural/production facilities with unique environmental and biosecurity requirements far beyond standard commercial cleaning. These are process-oriented operations with technical cleaning protocols related to water quality, disease prevention, and food safety that require specialized expertise, not general janitorial services. This is a niche agricultural sector that would not outsource to commercial cleaning providers like OpenWorks."
1153,NAICS 1153 Industry,25,"NAICS 1153 covers support activities for forestry (logging support, forest nurseries, timber tract operations). This is a heavy industrial/outdoor operational environment with specialized requirements far outside OpenWorks' core commercial cleaning competency. These are not multi-location retail or facility-based operations requiring standard janitorial services - they're forestry/logging support operations with minimal indoor facility needs and highly specialized outdoor/industrial cleaning requirements that don't align with OpenWorks' service model."
2111,NAICS 2111 Industry,25,"Oil and gas extraction (NAICS 2111) is a heavy industrial sector with highly specialized facility requirements including hazardous materials handling, environmental compliance, and technical safety protocols far beyond standard commercial cleaning. These operations typically have internal facilities teams and require specialized contractors with industry-specific certifications and insurance. This is a process industry with complex operational environments that falls well outside OpenWorks' core competency of standard commercial cleaning for multi-location retail, education, and operational facilities."
2121,NAICS 2121 Industry,25,"NAICS 2121 covers coal mining operations - a heavy industrial/extraction industry with specialized safety requirements, hazardous environments, and technical cleaning needs far beyond standard commercial services. This is a declining industry facing secular headwinds (transition away from coal), with only 762 locations nationwide indicating limited market opportunity. Mining operations typically have internal facilities teams and require specialized protocols that don't align with OpenWorks' core commercial cleaning competency."
2122,NAICS 2122 Industry,25,"NAICS 2122 covers metal ore mining operations - a heavy industrial/extraction industry with specialized safety requirements, remote locations, and complex operational environments far outside OpenWorks' core competency in standard commercial cleaning. Mining operations typically have internal facilities teams and require specialized cleaning protocols for industrial equipment, hazardous materials, and harsh environments. With only 246 locations nationwide and no current OpenWorks presence, this represents a difficult market with low outsourcing likelihood and poor strategic fit."
2123,Nonmetallic Mineral Mining,35,"Nonmetallic mineral mining (quarries, sand/gravel pits, stone mining) represents heavy industrial operations with specialized safety requirements, hazardous environments, and process-oriented facilities that fall outside OpenWorks' core competency in standard commercial cleaning. These operations typically have internal facilities teams managing specialized cleaning protocols for mining equipment, processing facilities, and industrial environments. The lack of any OpenWorks presence despite 19,000+ locations nationwide signals this is not a natural outsourcing market - mining operations rarely outsource facilities management as it's integral to safety and operations."
2131,Support Activities for Mining,35,"Mining support activities (equipment maintenance, exploration services, drilling) represent heavy industrial environments with specialized safety requirements, hazardous materials handling, and technical cleaning needs beyond standard commercial services. These facilities typically have internal maintenance teams due to the operational complexity and safety protocols required in mining operations. The industry also faces cyclical volatility tied to commodity prices, and the operational nature suggests low likelihood of outsourcing facility maintenance as a non-core function."
2211,"Electric Power Generation, Transmission and Distribution",42,"Despite OpenWorks presence, the extremely low revenue per building ($1,613/building annually, ~$134/month) indicates this is a DIFFICULT market with specialized requirements beyond standard commercial cleaning. Electric utilities typically have internal facilities teams, union staff, and technical/safety requirements (substations, power plants, control rooms) that don't align with OpenWorks' core commercial cleaning competency. The minimal revenue despite serving 3 locations signals poor strategic fit - this is operational/industrial infrastructure, not the multi-location retail/education/healthcare facilities where OpenWorks excels."
2212,NAICS 2212 Industry,25,"NAICS 2212 covers natural gas distribution utilities - a highly regulated infrastructure industry with specialized safety requirements, technical operations, and typically internal facilities management teams. These are not multi-location retail/operational facilities but rather utility infrastructure (pipelines, compressor stations, metering facilities) requiring specialized maintenance beyond standard commercial cleaning. The lack of OpenWorks presence and the technical/industrial nature of utility operations makes this a poor strategic fit."
2213,"Water, Sewage and Other Systems",35,"Despite OpenWorks presence, the extremely low revenue per building ($1,634/building annually = $136/month) indicates this is a DIFFICULT market with minimal cleaning needs or pricing power. Water/sewage treatment facilities are operational/industrial environments that likely have internal maintenance staff and specialized cleaning requirements beyond standard commercial services. The poor revenue quality despite presence signals this is not a strategic growth opportunity."
2361,Residential Building Construction,25,"Residential construction companies are poor fits for OpenWorks' multi-location commercial cleaning model. These are typically project-based businesses with temporary job sites rather than permanent facilities requiring ongoing cleaning services, and construction site cleaning has specialized requirements (debris removal, post-construction cleanup) that differ from OpenWorks' core commercial facility maintenance competency. The lack of any OpenWorks presence despite 576K+ locations nationwide signals this is not a viable market - construction companies don't outsource ongoing facility cleaning because they don't operate traditional commercial facilities."
2362,Nonresidential Building Construction,35,"Construction companies are project-based operations with temporary job sites and field offices, not permanent multi-location facilities requiring ongoing cleaning contracts. The extremely low revenue per building ($3,362/year or ~$280/month) despite OpenWorks presence confirms this is a difficult market with minimal recurring revenue potential. Construction firms typically handle their own site cleanup or use specialized post-construction cleaning services, making this a poor strategic fit for OpenWorks' recurring commercial cleaning model."
2371,Utility System Construction,45,"Utility System Construction involves specialized construction sites (power lines, pipelines, water/sewer systems) with temporary, project-based facilities rather than permanent multi-location operations. These are field construction environments with heavy equipment, outdoor work sites, and transient project offices - not the standardized commercial facilities where OpenWorks excels. The industry lacks centralized facility management, has specialized safety/environmental requirements beyond standard cleaning, and doesn't fit the multi-location retail/education/operational facility profile that drives OpenWorks success."
2372,NAICS 2372 Industry,35,"NAICS 2372 (Land Subdivision) represents land development and real estate subdivision activities - essentially preparing raw land for construction. This is a poor fit for OpenWorks as these are temporary project sites without permanent facilities requiring ongoing cleaning services. The industry involves outdoor construction/development work rather than the multi-location operational facilities where OpenWorks succeeds, and cleaning needs would be minimal, sporadic, and construction-related rather than commercial facility maintenance."
2373,"Highway, Street, and Bridge Construction",25,"Highway and bridge construction represents a poor strategic fit for OpenWorks. This is a heavy industrial/construction sector with transient project sites rather than permanent multi-location facilities, specialized equipment cleaning needs beyond standard commercial services, and field operations that rarely outsource cleaning as a distinct service. The industry lacks the key success factors: permanent consumer-facing facilities, centralized procurement for multi-location chains, and standard commercial cleaning requirements that OpenWorks excels at serving."
2379,NAICS 2379 Industry,35,"NAICS 2379 covers 'Other Heavy and Civil Engineering Construction' including power/communication line construction, land subdivision, and other infrastructure projects. These are construction/project-based operations with temporary job sites, specialized outdoor work environments, and field crews rather than permanent facilities requiring regular commercial cleaning. This is a poor fit for OpenWorks' multi-location facility maintenance model - construction companies need occasional trailer/office cleaning, not ongoing facility services contracts."
2381,"Foundation, Structure, and Building Exterior Contractors",25,"Foundation and building exterior contractors are construction/specialty trade businesses that perform project-based work (masonry, concrete, framing, roofing, siding) rather than operating facilities requiring ongoing cleaning services. These are typically small contractors with job site trailers or small offices, not multi-location facilities with standardized cleaning needs. This industry represents construction service providers, not facility operators - fundamentally misaligned with OpenWorks' commercial cleaning business model."
2382,Building Equipment Contractors,35,"Building Equipment Contractors (HVAC, plumbing, electrical contractors) are themselves service providers who work on-site at client facilities rather than operating multi-location facilities requiring cleaning. The extremely low revenue per building ($1,984/year or ~$165/month) despite OpenWorks presence confirms this is a DIFFICULT market - likely small contractor offices/shops with minimal cleaning needs. These are typically small businesses without centralized procurement, and cleaning is not a meaningful expense category for trade contractors focused on their own service delivery."
2383,Building Finishing Contractors,25,"Building finishing contractors (drywall, painting, flooring, tile installation) are construction trade businesses, not facility operators requiring ongoing cleaning services. The extremely low revenue per building ($570/year or ~$48/month) despite OpenWorks presence confirms this is a poor fit - these are likely small contractor offices or warehouses with minimal cleaning needs. This is a B2B construction services industry, not a multi-location facility operator that outsources cleaning as a non-core function."
2389,Other Specialty Trade Contractors,25,"This is a highly fragmented industry of specialty trade contractors (scaffolding, wrecking, steeplejacks, etc.) - essentially construction subcontractors who are NOT multi-location operators and do NOT fit OpenWorks' ideal customer profile. The $299 revenue from 1 building indicates minimal engagement, not proven success. These are small, project-based businesses with temporary job sites rather than permanent facilities requiring ongoing cleaning services."
3111,NAICS 3111 Industry,35,"NAICS 3111 (Animal Food Manufacturing) is a process manufacturing industry involving grain processing, feed mills, and pet food production - environments with specialized food safety requirements, heavy machinery, and production-focused operations. Manufacturing facilities typically have internal maintenance teams and specialized cleaning protocols beyond standard commercial services. With no OpenWorks presence and the industry's process manufacturing characteristics, this represents a difficult market with low outsourcing likelihood and poor strategic fit."
3112,NAICS 3112 Industry,42,"NAICS 3112 (Grain & Food Processing) is explicitly flagged as EXCLUDE with a cap of 40 due to specialized food safety requirements, heavy industrial environments, and process industry characteristics. Despite OpenWorks having 2 locations generating $17K revenue, this represents a difficult market with specialized cleaning needs beyond standard commercial services. The food processing environment requires specialized protocols and equipment that don't align with OpenWorks' core multi-location retail/education/operational facility model."
3113,NAICS 3113 Industry,35,"NAICS 3113 covers sugar and confectionery product manufacturing - a process manufacturing industry with specialized food safety requirements, production equipment, and likely internal facilities teams. Food processing plants typically have complex cleaning protocols beyond standard commercial services, and the lack of any OpenWorks presence despite 4,564+ locations nationwide signals this is a difficult market to penetrate. Manufacturing environments with production machinery and specialized sanitation requirements fall outside OpenWorks' core competency of standard commercial cleaning."
3114,NAICS 3114 Industry,35,"NAICS 3114 covers seafood product preparation and packaging, which is process manufacturing with specialized food safety requirements (HACCP, FDA regulations) and cold/wet environments requiring technical cleaning protocols beyond standard commercial services. This is a manufacturing environment with production lines, processing equipment, and specialized sanitation needs that don't align with OpenWorks' core competency in standard commercial cleaning. The industry also typically has internal facilities teams or uses specialized food-grade sanitation contractors, making outsourcing to general commercial cleaners unlikely."
3115,NAICS 3115 Industry,38,"NAICS 3115 (Dairy Product Manufacturing) is a process manufacturing industry with specialized food safety requirements, sanitation protocols, and likely internal facilities teams - all indicators of poor fit. Despite minimal OpenWorks presence (1 building, $3,913 revenue), the low revenue per building and manufacturing nature signal this is a difficult market requiring specialized cleaning beyond standard commercial services. Process food manufacturing consistently underperforms for OpenWorks due to technical requirements and low outsourcing likelihood."
3116,Animal Slaughtering and Processing,42,"Food processing/animal slaughtering is a specialized industrial environment with USDA/food safety requirements beyond standard commercial cleaning. Despite minimal OpenWorks presence ($6,515 from 1 building), the low revenue per building and specialized sanitation protocols (pathogen control, temperature-controlled environments, regulatory compliance) indicate this is a difficult market requiring expertise beyond core competency. Process manufacturing with heavy industrial characteristics and specialized requirements caps the score."
3117,NAICS 3117 Industry,38,"NAICS 3117 (Seafood Product Preparation and Packaging) is a food processing/manufacturing industry with specialized cleaning requirements including food safety protocols, cold storage environments, and wet processing areas. Despite OpenWorks presence, the extremely low revenue per building ($2,950 annually = $246/month) is a strong signal this is a DIFFICULT market - process manufacturing with specialized requirements beyond standard commercial cleaning. This is exactly the type of industrial/manufacturing environment to avoid, with technical cleaning needs that don't align with OpenWorks' core competency in standard commercial facilities."
3118,Bakeries and Tortilla Manufacturing,42,"Bakeries and Tortilla Manufacturing is a FOOD PROCESSING/MANUFACTURING industry with specialized cleaning requirements (food safety, sanitation protocols, equipment cleaning) that go beyond standard commercial cleaning. While the large location count (86,712) suggests market size, most are small independent bakeries or production facilities requiring specialized food-grade cleaning knowledge and compliance with FDA/USDA standards. This is a process manufacturing environment that falls outside OpenWorks' core competency of standard commercial cleaning for multi-location retail/operational facilities."
3119,NAICS 3119 Industry,62,"NAICS 3119 (Other Food Manufacturing) shows proven OpenWorks success with strong revenue per building ($7,712/month) well above the $5K threshold, earning a +15 point bonus. However, this is still a manufacturing environment with food safety requirements and specialized cleaning protocols that limit scalability. While the proven performance prevents a low score, food processing facilities typically have complex sanitation needs beyond standard commercial cleaning, capping the upside despite the current success."
3121,NAICS 3121 Industry,35,"NAICS 3121 (Beverage Manufacturing) is a process manufacturing industry with specialized cleaning requirements including food safety protocols, production equipment sanitation, and regulatory compliance beyond standard commercial cleaning. Despite OpenWorks presence, the extremely low revenue per building ($2,438/building annually, ~$203/month) is a strong signal this is a DIFFICULT market where OpenWorks struggles to generate meaningful revenue. Process manufacturing industries with heavy machinery and specialized requirements are poor strategic fits, and the revenue data confirms this assessment."
3122,NAICS 3122 Industry,35,"NAICS 3122 (Tobacco Manufacturing) is a process manufacturing industry with specialized production requirements, regulatory compliance needs, and likely internal facilities management - all characteristics that make it a poor fit for OpenWorks' commercial cleaning model. The industry is also in secular decline with declining consumption trends and heavy regulatory oversight. Manufacturing environments, especially process industries like tobacco, typically have specialized cleaning requirements beyond standard commercial services and rarely outsource to regional operators."
3131,NAICS 3131 Industry,35,"NAICS 3131 (Fiber, Yarn, and Thread Mills) is a process manufacturing industry involving textile production with specialized equipment and industrial environments. Manufacturing facilities typically have internal facilities teams and specialized cleaning requirements beyond standard commercial cleaning. With only 361 locations nationwide and no OpenWorks presence, this represents a small, difficult market with low outsourcing likelihood and poor strategic fit for OpenWorks' core competencies."
3132,NAICS 3132 Industry,35,"NAICS 3132 (Fabric Mills) is a process manufacturing industry involving textile production with specialized equipment and industrial environments. Manufacturing facilities typically have internal facilities teams and specialized cleaning requirements beyond standard commercial cleaning. With no OpenWorks presence and only 2,724 locations nationwide, this represents a small, difficult market that doesn't align with OpenWorks' core competencies in multi-location retail, education, and operational facilities."
3133,NAICS 3133 Industry,35,"NAICS 3133 covers textile and fabric finishing mills - a process manufacturing industry with specialized equipment, chemical treatments, and technical requirements beyond standard commercial cleaning. Manufacturing environments with heavy machinery and industrial processes are consistently difficult markets for OpenWorks, requiring specialized knowledge and generating low revenue density. The lack of any current OpenWorks presence despite 4,198 nationwide locations signals this is not a natural fit for the business model."
3141,NAICS 3141 Industry,35,"NAICS 3141 (Textile Furnishings Mills) represents manufacturing facilities producing carpets, rugs, curtains, and other textile products - a process manufacturing environment with specialized equipment and production lines. Manufacturing industries consistently underperform for OpenWorks due to internal facilities teams, specialized cleaning requirements beyond standard commercial services, and low revenue density. With only 2,141 locations nationwide and no current OpenWorks presence, this small manufacturing sector lacks the multi-location retail/operational characteristics that drive OpenWorks success."
3149,NAICS 3149 Industry,35,"NAICS 3149 covers 'Other Textile Product Mills' including textile bags, canvas products, rope, tire cord, and other industrial textile manufacturing. This is process manufacturing with specialized equipment and technical requirements beyond standard commercial cleaning. With no OpenWorks presence and manufacturing characteristics that typically indicate internal facilities management, this represents a difficult market with low outsourcing likelihood and poor strategic fit."
3151,NAICS 3151 Industry,35,"NAICS 3151 (Apparel Knitting Mills) is a process manufacturing industry producing textile products through specialized knitting equipment. This represents a factory floor environment with machinery, production lines, and likely specialized cleaning requirements beyond standard commercial services - a poor fit for OpenWorks' core competency in straightforward commercial cleaning. The small market size (542 locations nationwide) combined with manufacturing complexity and low outsourcing likelihood makes this an unattractive target despite being untapped."
3152,NAICS 3152 Industry,35,"NAICS 3152 (Cut and Sew Apparel Manufacturing) represents a process manufacturing environment with specialized requirements including fabric handling, lint control, and production floor cleaning that goes beyond standard commercial cleaning. Manufacturing facilities typically have internal facilities teams and low outsourcing likelihood for janitorial services. The absence of any OpenWorks presence despite 10,938+ locations nationwide signals this is not a natural fit for the business model, and apparel manufacturing often involves smaller facilities with lower revenue potential per location."
3159,NAICS 3159 Industry,35,"NAICS 3159 covers apparel accessories and other apparel manufacturing - a process manufacturing environment with specialized equipment, fabric handling, and production line operations. Manufacturing facilities typically have internal facilities teams and specialized cleaning requirements beyond standard commercial cleaning. With no OpenWorks presence and the challenges inherent in manufacturing environments, this represents a difficult market with low outsourcing likelihood."
3161,NAICS 3161 Industry,35,"NAICS 3161 (Leather and Hide Tanning and Finishing) is a process manufacturing industry with specialized requirements including chemical handling, wastewater treatment, and industrial environments that fall outside OpenWorks' core competency in standard commercial cleaning. With only 519 locations nationwide, this is a small, niche industrial sector that typically requires specialized facilities management rather than outsourced commercial cleaning services. The manufacturing nature, specialized safety protocols, and small market size make this a poor strategic fit for OpenWorks' multi-location retail and operational facility focus."
3162,NAICS 3162 Industry,35,"NAICS 3162 (Footwear Manufacturing) is a process manufacturing industry that falls outside OpenWorks' core competency. Manufacturing facilities typically have specialized cleaning requirements, internal facilities teams, and low outsourcing likelihood for janitorial services. With only 1,336 locations nationwide and no current OpenWorks presence, this represents a small, difficult market that doesn't align with the multi-location retail, education, or operational facility profile where OpenWorks succeeds."
3169,NAICS 3169 Industry,35,"NAICS 3169 covers 'Other Leather and Allied Product Manufacturing' - a process manufacturing industry producing leather goods, luggage, and related products. This is a manufacturing environment with specialized production requirements, small facility footprint (only 1,682 locations nationwide indicating niche industry), and likely internal facilities management. Manufacturing industries consistently underperform for OpenWorks, and this niche sector lacks the multi-location retail/operational characteristics of successful targets."
3211,Sawmills and Wood Preservation,35,"Sawmills and wood preservation facilities are heavy industrial manufacturing environments with specialized cleaning requirements (sawdust, wood debris, chemical preservatives) that fall outside OpenWorks' core commercial cleaning competency. These are process manufacturing facilities with machinery-intensive operations, likely to have internal maintenance staff rather than outsourcing to commercial cleaning providers. The industry also faces secular headwinds from declining lumber demand and automation, making it an unattractive target market with low outsourcing likelihood and specialized requirements beyond standard janitorial services."
3212,NAICS 3212 Industry,35,"NAICS 3212 (Veneer, Plywood, and Engineered Wood Product Manufacturing) is a process manufacturing industry with specialized industrial environments, heavy machinery, and wood processing operations that require technical cleaning beyond standard commercial services. Manufacturing facilities typically have internal maintenance teams and low outsourcing likelihood for facility services. The lack of OpenWorks presence and the industrial nature of wood product manufacturing make this a poor strategic fit."
3219,NAICS 3219 Industry,35,"NAICS 3219 (Other Wood Product Manufacturing) is a process manufacturing industry with specialized industrial requirements that fall outside OpenWorks' core competency. Despite minimal OpenWorks presence ($1,157 from 1 building), the extremely low revenue per building ($1,157/year or ~$96/month) confirms this is a DIFFICULT market - manufacturing facilities typically have internal maintenance teams or specialized cleaning needs beyond standard commercial services. Manufacturing environments with production equipment, sawdust/wood debris, and industrial processes are poor strategic fits for OpenWorks' multi-location retail and operational facility model."
3221,"Pulp, Paper, and Paperboard Mills",35,"Paper mills are heavy industrial process manufacturing environments with specialized cleaning requirements beyond standard commercial services. Despite OpenWorks presence in 14 locations, the revenue per building of $3,052/month is well below the $5K threshold that indicates a healthy market, signaling this is a DIFFICULT sector with low revenue density. This is a proven poor-fit industry that should be avoided - the low revenue per building despite presence confirms these are challenging accounts that don't align with OpenWorks' core competency in standard commercial cleaning."
3222,NAICS 3222 Industry,35,"NAICS 3222 (Converted Paper Product Manufacturing) is a process manufacturing industry that falls into OpenWorks' 'avoid' category. Despite having 3 buildings served, the revenue per building of $2,011/year ($168/month) is extremely low and indicates a DIFFICULT market with specialized requirements beyond standard commercial cleaning. This is a manufacturing environment with production equipment and specialized needs that doesn't align with OpenWorks' core competency in multi-location retail, education, and operational facilities."
3231,Printing and Related Support Activities,42,"Despite OpenWorks presence, the extremely low revenue per building ($1,105 annually = $92/month) is a strong signal this is a DIFFICULT market. Printing facilities are typically small-footprint manufacturing/production environments with specialized equipment and limited cleaning needs beyond basic office areas. The manufacturing nature, low revenue density, and declining industry fundamentals (print industry facing secular decline from digitalization) make this a poor strategic fit despite the large location count."
3241,Petroleum and Coal Products Manufacturing,35,"Despite OpenWorks presence, this is a PROCESS MANUFACTURING industry with extremely poor revenue quality ($1,436/building/year = $120/month) indicating a fundamentally difficult market. Petroleum and coal products manufacturing involves heavy industrial facilities with specialized safety protocols, hazardous materials handling, and technical requirements far beyond standard commercial cleaning. The minimal revenue per building despite serving 3 locations proves this is NOT a strategic fit - it's a challenging industrial environment where OpenWorks struggles to generate meaningful revenue."
3251,Basic Chemical Manufacturing,35,"Chemical manufacturing is a process industry with specialized safety protocols, hazardous materials handling, and technical cleaning requirements beyond standard commercial services. Despite OpenWorks presence, the revenue per building of $3,906/building is extremely low (well below the $5K/month threshold), indicating this is a DIFFICULT market where OpenWorks struggles to generate meaningful revenue. This is a clear example of presence without success - the low revenue density confirms chemical manufacturing should be avoided as it falls outside core competencies."
3252,"Resin, Synthetic Rubber, and Fibers Manufacturing",35,"This is a process manufacturing industry (synthetic materials production) with specialized chemical handling, safety protocols, and technical requirements beyond standard commercial cleaning. Despite minimal OpenWorks presence (1 building, $1,618 revenue), the extremely low revenue per building ($135/month) confirms this is a DIFFICULT market with specialized needs that don't align with OpenWorks' core competency. Chemical manufacturing environments require hazmat protocols and specialized cleaning that OpenWorks should avoid."
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",40,"Despite OpenWorks generating revenue in this industry, chemical manufacturing (pesticides, fertilizers, agricultural chemicals) represents a poor strategic fit due to specialized safety protocols, hazardous materials handling, and complex regulatory requirements (EPA, OSHA) that exceed standard commercial cleaning capabilities. The industry falls squarely into the 'process manufacturing' category that OpenWorks should actively avoid. While the $9,734/building revenue appears reasonable, the specialized nature of these facilities, small market size (5,364 locations), and technical requirements beyond core competency make this a challenging sector for scalable growth."
3254,Pharmaceutical and Medicine Manufacturing,45,"Pharmaceutical manufacturing requires specialized cleanroom protocols, FDA/GMP compliance, and sterile environment maintenance that exceed standard commercial cleaning capabilities. These facilities typically have internal facilities teams with technical expertise for regulatory compliance, making outsourcing to generalist cleaning providers unlikely. The specialized requirements (cleanrooms, controlled environments, validation protocols) place this firmly outside OpenWorks' core competency of standard commercial cleaning."
3255,NAICS 3255 Industry,35,"NAICS 3255 (Paint, Coating, and Adhesive Manufacturing) is a process manufacturing industry with specialized chemical handling requirements, hazardous materials protocols, and technical cleaning needs beyond standard commercial services. Manufacturing environments typically maintain internal facilities teams and require specialized safety protocols that don't align with OpenWorks' core commercial cleaning competency. The lack of current OpenWorks presence combined with the chemical manufacturing nature makes this a poor strategic fit."
